market_id,question,end_date,prob_market,prob_model,edge,kelly_fraction,direction,spread,liquidity,source
599834,Will Meta acquire TikTok?,2026-12-31 00:00:00+00:00,0.0525,0.6019,0.5494,0.2899,BUY YES,0.007,7469.79433,calibration_model
566760,Will Trump pardon Ghislaine Maxwell by end of 2026?,2026-12-31 00:00:00+00:00,0.055,0.5853,0.5303,0.2806,BUY YES,0.01,35298.322,calibration_model
582717,Taylor Swift pregnant before marriage?,2026-08-31 00:00:00+00:00,0.0755,0.5853,0.5098,0.2757,BUY YES,0.003,17348.64465,calibration_model
599833,Will Amazon acquire TikTok?,2026-12-31 00:00:00+00:00,0.09,0.595,0.505,0.2775,BUY YES,0.038,4011.76119,calibration_model
599836,Will Elon Musk / X (Twitter) acquire TikTok?,2026-12-31 00:00:00+00:00,0.06,0.5638,0.5038,0.268,BUY YES,0.006,8161.30483,calibration_model
559651,Xi Jinping out before 2027?,2026-12-31 00:00:00+00:00,0.077,0.5652,0.4882,0.2644,BUY YES,0.002,309961.83017,calibration_model
573656,"Will Bitcoin hit $150k by December 31, 2026?",2027-01-01 04:00:00+00:00,0.095,0.5813,0.4863,0.2687,BUY YES,0.01,31169.0155,calibration_model
611054,"Will Tesla release Optimus by June 30, 2026?",2026-06-30 00:00:00+00:00,0.062,0.5436,0.4816,0.2567,BUY YES,0.004,16122.86034,calibration_model
576823,Will Angers be relegated from Ligue 1 after the 2025–26 season?,2026-05-30 00:00:00+00:00,0.078,0.5128,0.4348,0.2358,BUY YES,0.016,2584.34978,calibration_model
593975,Will Bernie endorse Antonio Delgado for NY-Gov by Nov 2 2026 ET?,2026-11-30 00:00:00+00:00,0.0585,0.4676,0.4091,0.0,BUY YES,0.005,8090.37843,calibration_model
610380,"Ukraine election called by June 30, 2026?",2025-12-31 12:00:00+00:00,0.09,0.4966,0.4066,0.0,BUY YES,0.02,10882.5852,calibration_model
563650,"SCOTUS accepts sports event contract case by July 31, 2026?     ",2026-07-31 00:00:00+00:00,0.125,0.5295,0.4045,0.2311,BUY YES,0.01,6999.5105,calibration_model
568117,"Will Trump resign by December 31, 2026?",2026-12-31 00:00:00+00:00,0.065,0.4678,0.4028,0.0,BUY YES,0.01,131334.7227,calibration_model
618455,Opensea FDV above $1B one day after launch?,2027-01-01 05:00:00+00:00,0.15,0.5511,0.4011,0.236,BUY YES,0.02,36474.3512,calibration_model
556062,MegaETH market cap (FDV) >$2B one day after launch?,2025-12-31 00:00:00+00:00,0.095,0.4886,0.3936,0.0,BUY YES,0.01,101048.1681,calibration_model
572855,Will Leeds be relegated from the English Premier League after the 2025–26 season?,2026-05-27 00:00:00+00:00,0.135,0.5251,0.3901,0.2255,BUY YES,0.03,12551.6605,calibration_model
599831,Will AppLovin acquire TikTok?,2026-12-31 00:00:00+00:00,0.05,0.4237,0.3737,0.0,BUY YES,0.026,3282.88505,calibration_model
567621,Will China invade Taiwan by end of 2026?,2026-12-31 00:00:00+00:00,0.0985,0.4715,0.373,0.0,BUY YES,0.001,536278.61546,calibration_model
567689,Zelenskyy out as Ukraine president by end of 2026?,2026-12-31 00:00:00+00:00,0.165,0.5277,0.3627,0.2172,BUY YES,0.01,146294.5651,calibration_model
601924,Will Fernando Haddad qualify for Brazil's presidential runoff?,2026-10-04 00:00:00+00:00,0.135,0.4856,0.3506,0.0,BUY YES,0.022,8651.85411,calibration_model
560317,"Putin out as President of Russia by December 31, 2026?",2026-12-31 18:30:00+00:00,0.105,0.4534,0.3484,0.0,BUY YES,0.01,339730.0121,calibration_model
568116,Will Trump be impeached by end of 2026?,2026-12-31 00:00:00+00:00,0.125,0.4721,0.3471,0.0,BUY YES,0.01,51215.5262,calibration_model
593978,Will Bernie endorse Zach Wahls for IA-Sen Nov 2 2026 ET?,2026-11-30 00:00:00+00:00,0.17,0.5137,0.3437,0.207,BUY YES,0.04,5615.88917,calibration_model
576807,Will FC Koln be relegated from the Bundesliga after the 2025–26 season?,2026-05-28 00:00:00+00:00,0.167,0.5061,0.3391,0.2035,BUY YES,0.032,643.73831,calibration_model
582174,Will Leverkusen finish in the top 4 of the Bundesliga 2025–26 standings?,2026-05-28 00:00:00+00:00,0.145,0.4767,0.3317,0.0,BUY YES,0.05,3054.9379,calibration_model
567690,"Erdoğan out by December 31, 2026?",2026-12-31 00:00:00+00:00,0.165,0.4585,0.2935,0.0,BUY YES,0.01,31499.1218,calibration_model
582136,Will Chelsea finish in the top 4 of the EPL 2025–26 standings?,2026-05-27 00:00:00+00:00,0.215,0.5069,0.2919,0.1859,BUY YES,0.01,16820.9173,calibration_model
609655,US recession by end of 2026?,2027-01-31 00:00:00+00:00,0.315,0.5959,0.2809,0.205,BUY YES,0.01,61890.2723,calibration_model
601920,Will any presidential candidate win outright in the first round of the Brazil election?,2026-10-04 00:00:00+00:00,0.15,0.4243,0.2743,0.0,BUY YES,0.02,13742.2182,calibration_model
572849,Will Nottm Forest be relegated from the English Premier League after the 2025–26 season?,2026-05-27 00:00:00+00:00,0.15,0.403,0.253,0.0,BUY YES,0.04,8694.9209,calibration_model
582134,Will Liverpool finish in the top 4 of the EPL 2025–26 standings?,2026-05-27 00:00:00+00:00,0.305,0.5546,0.2496,0.1796,BUY YES,0.03,15865.1558,calibration_model
572847,Will Tottenham be relegated from the English Premier League after the 2025–26 season?,2026-05-27 00:00:00+00:00,0.3235,0.5659,0.2424,0.1791,BUY YES,0.007,29013.51852,calibration_model
569454,Will any presidential candidate win outright in the first round of the Colombia's election?,2026-05-31 14:00:00+00:00,0.14,0.3785,0.2385,0.0,BUY YES,0.02,6086.5251,calibration_model
597967,"Starmer out by June 30, 2026?",2026-06-30 12:00:00+00:00,0.265,0.4775,0.2125,0.0,BUY YES,0.01,65783.0965,calibration_model
567687,Russia x Ukraine ceasefire by end of 2026?,2026-12-31 00:00:00+00:00,0.295,0.5055,0.2105,0.1493,BUY YES,0.01,489539.5621,calibration_model
601922,Will Luiz Inácio Lula da Silva qualify for Brazil's presidential runoff?,2026-10-04 00:00:00+00:00,0.745,0.5392,-0.2058,0.0,BUY NO,0.01,16054.372,calibration_model
582138,Will Manchester United finish in the top 4 of the EPL 2025–26 standings?,2026-05-27 00:00:00+00:00,0.885,0.6829,-0.2021,0.0,BUY NO,0.01,22369.9211,calibration_model
622738,"Will Hyperliquid perform an airdrop by December 31, 2026? ",,0.355,0.547,0.192,0.1489,BUY YES,0.03,5365.6462,calibration_model
582316,Will Marseille finish in the top 4 of the Ligue 1 2025–26 standings?,2026-05-30 00:00:00+00:00,0.805,0.6408,-0.1642,0.0,BUY NO,0.01,3915.4128,calibration_model
620335,"Aziz Akhannouch out as Morocco Prime Minister by December 31, 2026?",2026-12-31 00:00:00+00:00,0.863,0.7113,-0.1517,0.0,BUY NO,0.042,9597.88151,calibration_model
567688,Netanyahu out by end of 2026?,2026-12-31 00:00:00+00:00,0.395,0.5438,0.1488,0.123,BUY YES,0.01,75526.3848,calibration_model
618454,Opensea FDV above $500M one day after launch?,2027-01-01 05:00:00+00:00,0.396,0.5307,0.1347,0.1115,BUY YES,0.004,31125.79791,calibration_model
540816,Russia-Ukraine Ceasefire before GTA VI?,2026-07-31 12:00:00+00:00,0.535,0.6255,0.0905,0.0973,BUY YES,0.01,39337.5999,calibration_model
540843,Will China invades Taiwan before GTA VI?,2026-07-31 12:00:00+00:00,0.475,0.5464,0.0714,0.068,BUY YES,0.01,55249.8592,calibration_model
540819,Will Jesus Christ return before GTA VI?,2026-07-31 12:00:00+00:00,0.475,0.5416,0.0666,0.0634,BUY YES,0.01,713566.1825,calibration_model
